source,match_id,home_team,away_team,group,date,home_win_prob,draw_prob,away_win_prob,home_win_odds,draw_odds,away_win_odds,extra
betexplorer,mexico_vs_south_africa,Mexico,South Africa,,2026-06-11,0.6737,0.214017,0.112283,1.42,4.47,8.52,
betexplorer,south_korea_vs_czech_republic,South Korea,Czech Republic,,2026-06-12,0.358971,0.315137,0.325892,2.66,3.03,2.93,
betexplorer,canada_vs_bosnia_and_herzegovina,Canada,Bosnia and Herzegovina,,2026-06-12,0.521065,0.269364,0.209571,1.83,3.54,4.55,
betexplorer,usa_vs_paraguay,USA,Paraguay,,2026-06-13,0.494101,0.277214,0.228685,1.93,3.44,4.17,
betexplorer,qatar_vs_switzerland,Qatar,Switzerland,,2026-06-13,0.07013,0.147522,0.782349,13.61,6.47,1.22,
betexplorer,brazil_vs_morocco,Brazil,Morocco,,2026-06-13,0.570833,0.254891,0.174276,1.67,3.74,5.47,
betexplorer,haiti_vs_scotland,Haiti,Scotland,,2026-06-14,0.161718,0.224799,0.613483,5.88,4.23,1.55,
betexplorer,australia_vs_turkey,Australia,Turkey,,2026-06-14,0.187037,0.254051,0.558912,5.08,3.74,1.7,
betexplorer,germany_vs_curaao,Germany,Curaçao,,2026-06-14,0.91947,0.058131,0.0224,1.04,16.45,42.69,
betexplorer,netherlands_vs_japan,Netherlands,Japan,,2026-06-14,0.472463,0.269598,0.257939,2.02,3.54,3.7,
betexplorer,ivory_coast_vs_ecuador,Ivory Coast,Ecuador,,2026-06-14,0.266105,0.340235,0.39366,3.58,2.8,2.42,
betexplorer,sweden_vs_tunisia,Sweden,Tunisia,,2026-06-15,0.497772,0.277996,0.224232,1.91,3.42,4.24,
betexplorer,spain_vs_cape_verde,Spain,Cape Verde,,2026-06-15,0.874176,0.08947,0.036355,1.09,10.65,26.21,
betexplorer,belgium_vs_egypt,Belgium,Egypt,,2026-06-15,0.576663,0.247785,0.175552,1.65,3.84,5.42,
betexplorer,saudi_arabia_vs_uruguay,Saudi Arabia,Uruguay,,2026-06-15,0.124259,0.219313,0.656428,7.66,4.34,1.45,
betexplorer,iran_vs_new_zealand,Iran,New Zealand,,2026-06-16,0.519891,0.274179,0.205931,1.83,3.47,4.62,
betexplorer,france_vs_senegal,France,Senegal,,2026-06-16,0.642874,0.221784,0.135342,1.48,4.29,7.03,
betexplorer,iraq_vs_norway,Iraq,Norway,,2026-06-16,0.067136,0.140105,0.79276,14.17,6.79,1.2,
betexplorer,argentina_vs_algeria,Argentina,Algeria,,2026-06-17,0.682788,0.209972,0.10724,1.39,4.52,8.85,
betexplorer,austria_vs_jordan,Austria,Jordan,,2026-06-17,0.720672,0.176819,0.102509,1.32,5.38,9.28,
betexplorer,portugal_vs_democratic_republic_of_the_congo,Portugal,Democratic Republic of the Congo,,2026-06-17,0.742202,0.17056,0.087238,1.28,5.57,10.89,
betexplorer,england_vs_croatia,England,Croatia,,2026-06-17,0.550706,0.252043,0.197251,1.73,3.78,4.83,
betexplorer,ghana_vs_panama,Ghana,Panama,,2026-06-17,0.447463,0.27787,0.274667,2.13,3.43,3.47,
betexplorer,uzbekistan_vs_colombia,Uzbekistan,Colombia,,2026-06-18,0.108251,0.207975,0.683774,8.78,4.57,1.39,
betexplorer,czech_republic_vs_south_africa,Czech Republic,South Africa,,2026-06-18,0.481697,0.286375,0.231928,1.95,3.28,4.05,
betexplorer,switzerland_vs_bosnia_and_herzegovina,Switzerland,Bosnia and Herzegovina,,2026-06-18,0.590802,0.239636,0.169562,1.59,3.92,5.54,
betexplorer,canada_vs_qatar,Canada,Qatar,,2026-06-18,0.719189,0.188805,0.092006,1.31,4.99,10.24,
betexplorer,mexico_vs_south_korea,Mexico,South Korea,,2026-06-19,0.52343,0.267663,0.208908,1.8,3.52,4.51,
betexplorer,usa_vs_australia,USA,Australia,,2026-06-19,0.54182,0.246798,0.211383,1.74,3.82,4.46,
betexplorer,scotland_vs_morocco,Scotland,Morocco,,2026-06-19,0.233036,0.291476,0.475488,4.04,3.23,1.98,
betexplorer,brazil_vs_haiti,Brazil,Haiti,,2026-06-20,0.880593,0.087978,0.031429,1.08,10.81,30.26,
betexplorer,turkey_vs_paraguay,Turkey,Paraguay,,2026-06-20,0.422926,0.300928,0.276146,2.22,3.12,3.4,
betexplorer,netherlands_vs_sweden,Netherlands,Sweden,,2026-06-20,0.577552,0.237131,0.185317,1.63,3.97,5.08,
betexplorer,germany_vs_ivory_coast,Germany,Ivory Coast,,2026-06-20,0.60588,0.221489,0.172631,1.55,4.24,5.44,
betexplorer,ecuador_vs_curaao,Ecuador,Curaçao,,2026-06-21,0.79342,0.138849,0.067731,1.19,6.8,13.94,
betexplorer,tunisia_vs_japan,Tunisia,Japan,,2026-06-21,0.180485,0.266382,0.553133,5.21,3.53,1.7,
betexplorer,spain_vs_saudi_arabia,Spain,Saudi Arabia,,2026-06-21,0.85956,0.099738,0.040702,1.1,9.48,23.23,
betexplorer,belgium_vs_iran,Belgium,Iran,,2026-06-21,0.672551,0.204689,0.12276,1.4,4.6,7.67,
betexplorer,uruguay_vs_cape_verde,Uruguay,Cape Verde,,2026-06-21,0.661615,0.211598,0.126787,1.42,4.44,7.41,
betexplorer,new_zealand_vs_egypt,New Zealand,Egypt,,2026-06-22,0.202936,0.253945,0.543119,4.63,3.7,1.73,
betexplorer,argentina_vs_austria,Argentina,Austria,,2026-06-22,0.576785,0.250709,0.172506,1.63,3.75,5.45,
betexplorer,france_vs_iraq,France,Iraq,,2026-06-22,0.844645,0.11679,0.038565,1.12,8.1,24.53,
betexplorer,norway_vs_senegal,Norway,Senegal,,2026-06-23,0.443891,0.274358,0.281751,2.12,3.43,3.34,
betexplorer,jordan_vs_algeria,Jordan,Algeria,,2026-06-23,0.149462,0.228933,0.621605,6.28,4.1,1.51,
betexplorer,portugal_vs_uzbekistan,Portugal,Uzbekistan,,2026-06-23,0.761407,0.152527,0.086066,1.24,6.19,10.97,
