scraped_date,match_date,match_link,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2026-06-11 16:51:00 UTC,2026-06-11 12:00:00 UTC,https://www.oddsportal.com/football/h2h/mexico-O6iHcNkd/south-africa-W2ijYvlr/#h4EoUB7T,Mexico,South Africa,World Championship 2026,,,,Estadio Banorte,Mexico City,Mexico,"[{'1': '1.40', 'X': '4.50', '2': '8.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.40', 'X': '4.50', '2': '8.00', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.42', 'X': '4.40', '2': '8.50', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:51:01 UTC,2026-06-11 19:00:00 UTC,https://www.oddsportal.com/football/h2h/czech-republic-6LHwBDGU/south-korea-K6Gs7P6G/#CGdvIm6K,South Korea,Czech Republic,World Championship 2026,,,,Estadio Akron,Zapopan,Mexico,"[{'1': '2.63', 'X': '3.10', '2': '2.90', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.60', 'X': '2.95', '2': '2.87', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '2.70', 'X': '3.05', '2': '2.95', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:51:01 UTC,2026-06-12 12:00:00 UTC,https://www.oddsportal.com/football/h2h/bosnia-herzegovina-fqe7WYTr/canada-x4toKORL/#OxkQ8qT6,Canada,Bosnia & Herzegovina,World Championship 2026,,,,BMO Field,"Toronto, ON",Canada,"[{'1': '1.83', 'X': '3.60', '2': '4.33', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.50', '2': '4.40', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.83', 'X': '3.55', '2': '4.60', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:51:16 UTC,2026-06-12 18:00:00 UTC,https://www.oddsportal.com/football/h2h/paraguay-YaNlqp6j/usa-fuitL4CF/#bo9vy2zK,USA,Paraguay,World Championship 2026,,,,SoFi Stadium,"Inglewood, CA",USA,"[{'1': '1.91', 'X': '3.40', '2': '4.20', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.93', 'X': '3.40', '2': '4.20', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.90', 'X': '3.45', '2': '4.20', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:51:17 UTC,2026-06-13 12:00:00 UTC,https://www.oddsportal.com/football/h2h/qatar-zqzHL77i/switzerland-rHJ2vy1B/#C8oCpXiA,Qatar,Switzerland,World Championship 2026,,,,Levi's Stadium,"Santa Clara, CA",USA,"[{'1': '12.00', 'X': '6.50', '2': '1.22', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '13.00', 'X': '6.25', '2': '1.22', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '13.00', 'X': '6.50', '2': '1.23', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}, {'1': '14.00', 'X': '6.50', '2': '1.20', 'bookmaker_name': 'Fanduel', 'period': 'FullTime'}]"
2026-06-11 16:51:17 UTC,2026-06-13 15:00:00 UTC,https://www.oddsportal.com/football/h2h/brazil-I9l9aqLq/morocco-IDKYO3R8/#b5JayTEd,Brazil,Morocco,World Championship 2026,,,,MetLife Stadium,"East Rutherford, NJ",USA,"[{'1': '1.67', 'X': '3.70', '2': '5.25', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.63', 'X': '3.80', '2': '5.25', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.68', 'X': '3.75', '2': '5.50', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:51:32 UTC,2026-06-13 18:00:00 UTC,https://www.oddsportal.com/football/h2h/haiti-nk4v10Z1/scotland-fZRU25WH/#QBBoaW63,Haiti,Scotland,World Championship 2026,,,,Gillette Stadium,"Foxborough, MA",USA,"[{'1': '5.25', 'X': '4.33', '2': '1.57', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '5.50', 'X': '4.10', '2': '1.57', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '6.00', 'X': '4.20', '2': '1.57', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}, {'1': '6.00', 'X': '4.20', '2': '1.56', 'bookmaker_name': 'Fanduel', 'period': 'FullTime'}]"
2026-06-11 16:51:33 UTC,2026-06-13 21:00:00 UTC,https://www.oddsportal.com/football/h2h/australia-xSrf6qMM/turkey-QeijuHo5/#nLNXPs35,Australia,Turkey,World Championship 2026,,,,BC Place,"Vancouver, BC",Canada,"[{'1': '5.00', 'X': '3.75', '2': '1.70', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '4.80', 'X': '3.70', '2': '1.71', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '5.25', 'X': '3.85', '2': '1.68', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:51:33 UTC,2026-06-14 10:00:00 UTC,https://www.oddsportal.com/football/h2h/curacao-bLLGpOkQ/germany-ptQide1O/#dtiRRcc6,Germany,Curacao,World Championship 2026,,,,NRG Stadium,"Houston, TX",USA,"[{'1': '1.04', 'X': '17.00', '2': '29.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.06', 'X': '15.00', '2': '41.00', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.03', 'X': '16.00', '2': '29.00', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:51:48 UTC,2026-06-14 13:00:00 UTC,https://www.oddsportal.com/football/h2h/japan-ULXPdOUj/netherlands-WYintcWb/#4SV9xFBO,Netherlands,Japan,World Championship 2026,,,,AT&T Stadium,"Arlington, TX",USA,"[{'1': '2.00', 'X': '3.60', '2': '3.60', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.00', 'X': '3.50', '2': '3.50', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '2.00', 'X': '3.45', '2': '3.60', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
2026-06-11 16:51:48 UTC,2026-06-14 16:00:00 UTC,https://www.oddsportal.com/football/h2h/ecuador-8tbm8Tri/ivory-coast-G2FRjBgn/#h8pzQySI,Ivory Coast,Ecuador,World Championship 2026,,,,Lincoln Financial Field,"Philadelphia, PA",USA,"[{'1': '3.60', 'X': '2.80', '2': '2.38', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '3.40', 'X': '2.85', '2': '2.35', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '3.60', 'X': '2.85', '2': '2.45', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}, {'1': '3.60', 'X': '2.75', '2': '2.45', 'bookmaker_name': 'Fanduel', 'period': 'FullTime'}]"
2026-06-11 16:51:48 UTC,2026-06-14 19:00:00 UTC,https://www.oddsportal.com/football/h2h/sweden-OQyqbHWB/tunisia-QqZVYk95/#UaJKzaHN,Sweden,Tunisia,World Championship 2026,,,,Estadio BBVA,Monterrey,Mexico,"[{'1': '1.90', 'X': '3.40', '2': '4.33', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.88', 'X': '3.30', '2': '4.20', 'bookmaker_name': 'BetMGM.us', 'period': 'FullTime'}, {'1': '1.90', 'X': '3.45', '2': '4.30', 'bookmaker_name': 'DraftKings', 'period': 'FullTime'}]"
